ind,time,age,male,female
0,0,0,20,36
1,0,1,131,131
2,0,2,127,133
3,0,3,138,113
4,0,4,160,170
5,0,5,129,152
6,0,6,135,129
7,0,7,120,169
8,0,8,151,163
9,0,9,150,151
10,0,10,157,153
11,0,11,153,134
12,0,12,131,140
13,0,13,141,151
14,0,14,129,129
15,0,15,141,146
16,0,16,118,143
17,0,17,163,121
18,0,18,118,145
19,0,19,122,133
20,0,20,137,124
21,0,21,78,59
22,0,22,74,83
23,0,23,81,80
24,0,24,70,78
25,0,25,78,80
26,0,26,100,102
27,0,27,95,98
28,0,28,102,101
29,0,29,91,100
30,0,30,104,118
31,0,31,92,103
32,0,32,115,120
33,0,33,88,87
34,0,34,107,123
35,0,35,105,98
36,0,36,110,107
37,0,37,103,111
38,0,38,118,127
39,0,39,114,111
40,0,40,101,123
41,0,41,136,143
42,0,42,113,102
43,0,43,99,117
44,0,44,108,100
45,0,45,108,115
46,0,46,103,98
47,0,47,91,112
48,0,48,108,95
49,0,49,88,89
50,0,50,78,90
51,0,51,129,135
52,0,52,132,145
53,0,53,133,140
54,0,54,125,118
55,0,55,120,100
56,0,56,122,95
57,0,57,87,107
58,0,58,115,113
59,0,59,93,89
60,0,60,85,73
61,0,61,76,74
62,0,62,79,75
63,0,63,75,80
64,0,64,68,75
65,0,65,71,55
66,0,66,60,65
67,0,67,63,63
68,0,68,54,60
69,0,69,44,66
70,0,70,58,44
71,0,71,57,52
72,0,72,28,35
73,0,73,42,31
74,0,74,48,36
75,0,75,47,38
76,0,76,39,30
77,0,77,29,33
78,0,78,33,21
79,0,79,22,27
80,0,80,30,16
81,0,81,21,20
82,0,82,12,21
83,0,83,23,16
84,0,84,15,14
85,0,85,19,13
86,0,86,7,9
87,0,87,7,14
88,0,88,11,6
89,0,89,9,3
90,0,90,8,6
91,0,91,10,10
92,0,92,6,9
93,0,93,4,5
94,0,94,13,5
95,0,95,4,3
96,0,96,3,3
97,0,97,5,5
98,0,98,5,5
99,0,99,1,2
100,0,100,0,2
101,0,101,0,0
102,1,0,44,27
103,1,1,20,36
104,1,2,131,131
105,1,3,127,133
106,1,4,138,113
107,1,5,160,170
108,1,6,129,152
109,1,7,135,129
110,1,8,120,169
111,1,9,151,163
112,1,10,150,151
113,1,11,157,153
114,1,12,153,134
115,1,13,131,140
116,1,14,141,151
117,1,15,129,128
118,1,16,141,146
119,1,17,118,143
120,1,18,163,121
121,1,19,118,145
122,1,20,122,133
123,1,21,137,124
124,1,22,78,59
125,1,23,74,83
126,1,24,81,80
127,1,25,70,78
128,1,26,78,80
129,1,27,100,102
130,1,28,95,98
131,1,29,102,101
132,1,30,91,100
133,1,31,104,118
134,1,32,92,103
135,1,33,115,120
136,1,34,88,87
137,1,35,107,123
138,1,36,105,98
139,1,37,110,107
140,1,38,102,111
141,1,39,118,127
142,1,40,114,111
143,1,41,101,122
144,1,42,136,143
145,1,43,113,101
146,1,44,98,117
147,1,45,107,100
148,1,46,108,115
149,1,47,103,98
150,1,48,91,112
151,1,49,108,94
152,1,50,88,87
153,1,51,77,90
154,1,52,129,133
155,1,53,132,145
156,1,54,132,139
157,1,55,124,117
158,1,56,120,100
159,1,57,122,95
160,1,58,87,106
161,1,59,113,112
162,1,60,93,89
163,1,61,83,73
164,1,62,75,73
165,1,63,78,73
166,1,64,73,80
167,1,65,68,75
168,1,66,69,52
169,1,67,58,65
170,1,68,61,62
171,1,69,53,60
172,1,70,41,65
173,1,71,55,40
174,1,72,53,51
175,1,73,27,35
176,1,74,39,28
177,1,75,44,34
178,1,76,45,37
179,1,77,35,29
180,1,78,29,32
181,1,79,31,21
182,1,80,22,26
183,1,81,28,15
184,1,82,20,19
185,1,83,8,19
186,1,84,20,14
187,1,85,15,13
188,1,86,15,12
189,1,87,7,8
190,1,88,6,13
191,1,89,10,6
192,1,90,9,2
193,1,91,8,6
194,1,92,9,9
195,1,93,5,7
196,1,94,3,3
197,1,95,11,3
198,1,96,3,3
199,1,97,3,1
200,1,98,5,4
201,1,99,4,5
