ind,time,age,male,female
0,0,0,26,24
1,0,1,146,123
2,0,2,137,151
3,0,3,147,114
4,0,4,162,160
5,0,5,179,148
6,0,6,140,135
7,0,7,129,145
8,0,8,147,155
9,0,9,136,135
10,0,10,150,132
11,0,11,124,154
12,0,12,146,155
13,0,13,145,145
14,0,14,146,142
15,0,15,140,148
16,0,16,137,140
17,0,17,136,139
18,0,18,139,143
19,0,19,127,145
20,0,20,130,136
21,0,21,75,72
22,0,22,86,85
23,0,23,87,79
24,0,24,96,80
25,0,25,84,80
26,0,26,67,91
27,0,27,100,84
28,0,28,100,94
29,0,29,89,88
30,0,30,101,98
31,0,31,116,107
32,0,32,97,105
33,0,33,98,111
34,0,34,97,111
35,0,35,107,100
36,0,36,118,99
37,0,37,96,104
38,0,38,98,109
39,0,39,131,89
40,0,40,116,115
41,0,41,108,99
42,0,42,92,96
43,0,43,116,96
44,0,44,91,105
45,0,45,92,102
46,0,46,125,91
47,0,47,95,110
48,0,48,108,94
49,0,49,74,102
50,0,50,86,85
51,0,51,152,149
52,0,52,131,150
53,0,53,138,136
54,0,54,132,120
55,0,55,109,121
56,0,56,107,107
57,0,57,113,100
58,0,58,85,105
59,0,59,103,81
60,0,60,80,89
61,0,61,72,72
62,0,62,66,74
63,0,63,71,79
64,0,64,71,69
65,0,65,68,71
66,0,66,69,54
67,0,67,70,54
68,0,68,64,60
69,0,69,57,48
70,0,70,55,62
71,0,71,48,45
72,0,72,47,46
73,0,73,51,45
74,0,74,30,49
75,0,75,46,31
76,0,76,32,31
77,0,77,26,36
78,0,78,35,39
79,0,79,18,26
80,0,80,29,21
81,0,81,24,16
82,0,82,17,20
83,0,83,15,12
84,0,84,13,13
85,0,85,6,12
86,0,86,21,9
87,0,87,11,8
88,0,88,10,13
89,0,89,10,10
90,0,90,14,11
91,0,91,5,13
92,0,92,11,6
93,0,93,9,5
94,0,94,8,3
95,0,95,2,2
96,0,96,3,3
97,0,97,4,3
98,0,98,2,4
99,0,99,2,3
100,0,100,1,0
101,0,101,0,0
102,1,0,29,41
103,1,1,26,24
104,1,2,146,123
105,1,3,137,151
106,1,4,147,114
107,1,5,162,159
108,1,6,179,148
109,1,7,140,134
110,1,8,129,145
111,1,9,147,155
112,1,10,136,135
113,1,11,150,132
114,1,12,124,153
115,1,13,146,155
116,1,14,145,145
117,1,15,146,142
118,1,16,140,148
119,1,17,137,140
120,1,18,136,139
121,1,19,139,143
122,1,20,126,145
123,1,21,130,135
124,1,22,75,71
125,1,23,86,85
126,1,24,87,79
127,1,25,95,80
128,1,26,84,80
129,1,27,67,91
130,1,28,100,84
131,1,29,100,94
132,1,30,89,88
133,1,31,101,98
134,1,32,116,107
135,1,33,97,105
136,1,34,98,111
137,1,35,97,111
138,1,36,107,100
139,1,37,118,99
140,1,38,96,104
141,1,39,98,109
142,1,40,131,89
143,1,41,116,115
144,1,42,108,99
145,1,43,92,96
146,1,44,115,96
147,1,45,91,105
148,1,46,91,102
149,1,47,125,91
150,1,48,95,109
151,1,49,107,94
152,1,50,74,100
153,1,51,86,85
154,1,52,151,149
155,1,53,131,149
156,1,54,137,136
157,1,55,131,120
158,1,56,107,120
159,1,57,107,107
160,1,58,112,99
161,1,59,85,104
162,1,60,103,81
163,1,61,77,88
164,1,62,71,71
165,1,63,63,73
166,1,64,71,79
167,1,65,71,69
168,1,66,68,70
169,1,67,68,54
170,1,68,67,54
171,1,69,62,58
172,1,70,56,48
173,1,71,55,60
174,1,72,47,42
175,1,73,42,46
176,1,74,47,45
177,1,75,28,47
178,1,76,44,31
179,1,77,32,29
180,1,78,23,34
181,1,79,29,38
182,1,80,15,25
183,1,81,27,18
184,1,82,22,16
185,1,83,14,17
186,1,84,14,12
187,1,85,11,12
188,1,86,4,11
189,1,87,21,9
190,1,88,10,7
191,1,89,10,12
192,1,90,9,10
193,1,91,12,11
194,1,92,3,11
195,1,93,10,6
196,1,94,8,3
197,1,95,5,2
198,1,96,1,2
199,1,97,3,2
200,1,98,4,3
201,1,99,2,1
202,1,100,1,1
203,1,101,0,0
204,2,0,44,36
205,2,1,29,41
206,2,2,26,24
207,2,3,146,123
208,2,4,137,151
209,2,5,146,114
210,2,6,161,159
211,2,7,179,148
212,2,8,140,133
213,2,9,129,145
214,2,10,147,155
215,2,11,136,134
216,2,12,150,132
217,2,13,124,153
218,2,14,146,155
219,2,15,145,145
220,2,16,146,142
221,2,17,140,147
222,2,18,136,140
223,2,19,136,139
224,2,20,139,143
225,2,21,126,145
226,2,22,130,135
227,2,23,75,71
228,2,24,86,85
229,2,25,87,79
230,2,26,95,80
231,2,27,84,80
232,2,28,67,91
233,2,29,100,84
234,2,30,100,94
235,2,31,89,88
236,2,32,101,98
237,2,33,116,107
238,2,34,97,105
239,2,35,97,111
240,2,36,97,111
241,2,37,106,100
242,2,38,118,99
243,2,39,96,104
244,2,40,97,109
245,2,41,130,89
246,2,42,116,115
247,2,43,108,99
248,2,44,92,96
249,2,45,115,96
250,2,46,90,105
251,2,47,90,102
252,2,48,123,91
253,2,49,95,108
254,2,50,105,93
255,2,51,74,99
256,2,52,86,85
257,2,53,151,149
258,2,54,130,149
259,2,55,136,135
260,2,56,130,120
261,2,57,107,120
262,2,58,107,107
263,2,59,109,99
264,2,60,84,104
265,2,61,100,80
266,2,62,77,86
267,2,63,69,71
268,2,64,62,73
269,2,65,71,79
270,2,66,69,68
271,2,67,67,69
272,2,68,65,52
273,2,69,67,53
274,2,70,62,58
275,2,71,54,48
276,2,72,52,56
277,2,73,44,39
278,2,74,40,43
279,2,75,44,41
280,2,76,26,45
281,2,77,40,30
282,2,78,31,28
283,2,79,22,32
284,2,80,26,33
285,2,81,15,21
286,2,82,26,18
287,2,83,19,12
288,2,84,13,16
289,2,85,12,11
290,2,86,10,10
291,2,87,4,10
292,2,88,19,9
293,2,89,10,6
294,2,90,7,10
295,2,91,6,8
296,2,92,11,8
297,2,93,1,9
298,2,94,8,4
299,2,95,7,2
300,2,96,5,2
301,2,97,1,1
302,2,98,3,1
303,2,99,3,3
304,2,100,2,0
305,2,101,0,0
306,3,0,60,37
307,3,1,44,36
308,3,2,29,41
309,3,3,26,24
310,3,4,146,122
311,3,5,137,151
312,3,6,146,114
313,3,7,161,159
314,3,8,179,147
315,3,9,140,133
316,3,10,129,145
317,3,11,147,155
318,3,12,136,134
319,3,13,150,132
320,3,14,124,153
321,3,15,146,154
322,3,16,145,145
323,3,17,146,142
324,3,18,140,147
325,3,19,136,140
326,3,20,136,139
327,3,21,139,143
328,3,22,126,145
329,3,23,130,134
330,3,24,75,71
331,3,25,86,85
332,3,26,87,79
333,3,27,95,80
334,3,28,84,80
335,3,29,67,90
336,3,30,100,84
337,3,31,100,94
338,3,32,89,88
339,3,33,101,98
340,3,34,116,107
341,3,35,97,105
342,3,36,97,111
343,3,37,97,111
344,3,38,106,100
345,3,39,118,99
346,3,40,96,104
347,3,41,97,109
348,3,42,130,89
349,3,43,116,115
350,3,44,108,99
351,3,45,92,96
352,3,46,115,96
353,3,47,90,104
354,3,48,89,101
355,3,49,123,91
356,3,50,95,108
357,3,51,105,93
358,3,52,74,99
359,3,53,85,85
360,3,54,151,149
361,3,55,128,149
362,3,56,135,135
363,3,57,130,120
364,3,58,107,119
365,3,59,106,107
366,3,60,109,98
367,3,61,82,103
368,3,62,99,80
369,3,63,76,85
370,3,64,67,68
371,3,65,61,71
372,3,66,69,79
373,3,67,68,67
374,3,68,64,68
375,3,69,62,52
376,3,70,66,53
377,3,71,61,54
378,3,72,52,45
379,3,73,51,55
380,3,74,40,38
381,3,75,34,42
382,3,76,42,35
383,3,77,26,43
384,3,78,36,28
385,3,79,29,25
386,3,80,19,32
387,3,81,25,31
388,3,82,13,18
389,3,83,21,17
390,3,84,17,11
391,3,85,10,14
392,3,86,12,10
393,3,87,7,9
394,3,88,2,7
395,3,89,15,8
396,3,90,9,6
397,3,91,7,8
398,3,92,6,6
399,3,93,9,6
400,3,94,1,7
401,3,95,8,4
402,3,96,6,2
403,3,97,5,1
404,3,98,0,1
405,3,99,2,1
406,3,100,2,2
407,3,101,0,0
408,4,0,31,45
409,4,1,60,37
410,4,2,44,36
411,4,3,29,41
412,4,4,26,24
413,4,5,146,122
414,4,6,137,151
415,4,7,146,114
416,4,8,161,158
417,4,9,179,147
418,4,10,140,132
419,4,11,129,145
420,4,12,147,155
421,4,13,136,134
422,4,14,150,131
423,4,15,124,152
424,4,16,145,154
425,4,17,145,145
426,4,18,146,142
427,4,19,140,147
428,4,20,136,140
429,4,21,136,139
430,4,22,139,143
431,4,23,126,145
432,4,24,130,134
433,4,25,74,71
