ind,time,age,male,female
0,0,0,20,30
1,0,1,127,117
2,0,2,155,142
3,0,3,142,135
4,0,4,153,162
5,0,5,164,134
6,0,6,168,141
7,0,7,157,169
8,0,8,166,166
9,0,9,171,151
10,0,10,156,170
11,0,11,171,171
12,0,12,145,154
13,0,13,150,149
14,0,14,143,136
15,0,15,132,145
16,0,16,132,131
17,0,17,127,141
18,0,18,135,156
19,0,19,131,130
20,0,20,138,124
21,0,21,67,73
22,0,22,73,75
23,0,23,72,88
24,0,24,79,81
25,0,25,76,77
26,0,26,87,89
27,0,27,94,90
28,0,28,91,94
29,0,29,97,96
30,0,30,83,90
31,0,31,93,96
32,0,32,106,99
33,0,33,97,102
34,0,34,99,98
35,0,35,88,112
36,0,36,98,103
37,0,37,96,112
38,0,38,110,108
39,0,39,101,95
40,0,40,103,107
41,0,41,110,131
42,0,42,109,106
43,0,43,108,101
44,0,44,74,96
45,0,45,93,113
46,0,46,85,94
47,0,47,106,108
48,0,48,81,98
49,0,49,86,90
50,0,50,103,84
51,0,51,152,153
52,0,52,138,137
53,0,53,121,137
54,0,54,130,111
55,0,55,117,112
56,0,56,114,107
57,0,57,122,108
58,0,58,90,89
59,0,59,80,77
60,0,60,91,91
61,0,61,70,79
62,0,62,77,65
63,0,63,62,84
64,0,64,68,68
65,0,65,61,62
66,0,66,68,55
67,0,67,60,50
68,0,68,62,68
69,0,69,62,58
70,0,70,44,52
71,0,71,58,45
72,0,72,53,44
73,0,73,34,55
74,0,74,46,37
75,0,75,37,32
76,0,76,33,29
77,0,77,30,36
78,0,78,37,31
79,0,79,26,27
80,0,80,29,22
81,0,81,20,23
82,0,82,20,21
83,0,83,15,18
84,0,84,11,13
85,0,85,12,17
86,0,86,16,13
87,0,87,12,15
88,0,88,16,6
89,0,89,9,11
90,0,90,8,13
91,0,91,8,5
92,0,92,3,5
93,0,93,7,6
94,0,94,7,2
95,0,95,10,4
96,0,96,5,4
97,0,97,6,3
98,0,98,3,3
99,0,99,1,0
100,0,100,4,3
101,0,101,0,0
102,1,0,35,32
103,1,1,20,30
104,1,2,127,117
105,1,3,155,142
106,1,4,142,135
107,1,5,153,162
108,1,6,163,133
109,1,7,168,141
110,1,8,157,169
111,1,9,166,166
112,1,10,171,151
113,1,11,156,170
114,1,12,171,171
115,1,13,145,154
116,1,14,150,149
117,1,15,143,136
118,1,16,132,145
119,1,17,132,131
120,1,18,127,141
121,1,19,135,156
122,1,20,131,130
123,1,21,137,124
124,1,22,67,73
125,1,23,73,75
126,1,24,72,88
127,1,25,79,81
128,1,26,76,77
129,1,27,87,88
130,1,28,94,90
131,1,29,90,94
132,1,30,97,96
133,1,31,83,90
134,1,32,93,96
135,1,33,106,99
136,1,34,96,102
137,1,35,99,98
138,1,36,88,111
139,1,37,98,103
140,1,38,95,112
141,1,39,110,108
142,1,40,101,94
143,1,41,103,106
144,1,42,110,129
145,1,43,107,106
146,1,44,108,101
147,1,45,74,96
148,1,46,93,113
149,1,47,84,94
150,1,48,106,107
151,1,49,81,97
152,1,50,86,90
153,1,51,103,84
